,temperature(C),residence_time(s),conversion,Chain Transfer Agent,cta_concentration
1017,65.0,60.0,0.9262731207923736,Dodecanethiol,0.25
1018,65.0,75.864,0.926365958727924,Dodecanethiol,0.25
1019,65.0,91.734,0.9259844558725396,Dodecanethiol,0.25
1020,65.0,107.598,0.9270595219109388,Dodecanethiol,0.25
1021,65.0,123.468,0.9270535137767728,Dodecanethiol,0.25
1022,65.0,139.332,0.9266794995827641,Dodecanethiol,0.25
1023,65.0,155.202,0.92551248831663,Dodecanethiol,0.25
1024,65.0,171.066,0.9262136698604764,Dodecanethiol,0.25
1025,65.0,186.936,0.9262610088070456,Dodecanethiol,0.25
1026,65.0,202.8,0.9273310531375047,Dodecanethiol,0.25
1027,65.0,218.664,0.9262371118005529,Dodecanethiol,0.25
1028,65.0,234.534,0.9263724651537262,Dodecanethiol,0.25
1029,65.0,250.398,0.9269616475964414,Dodecanethiol,0.25
1030,65.0,266.268,0.9269210461238212,Dodecanethiol,0.25
1031,65.0,282.132,0.9251029658851392,Dodecanethiol,0.25
1032,65.0,298.002,0.9260599115694752,Dodecanethiol,0.25
1033,65.0,313.866,0.92557560616637,Dodecanethiol,0.25
1034,65.0,329.736,0.9271790629718178,Dodecanethiol,0.25
1035,65.0,345.6,0.9246737561426784,Dodecanethiol,0.25
1036,65.0,361.464,0.926027869340369,Dodecanethiol,0.25
1037,65.0,377.334,0.9271550070056134,Dodecanethiol,0.25
1038,65.0,393.198,0.9263606884566042,Dodecanethiol,0.25
1039,65.0,409.068,0.927450622582382,Dodecanethiol,0.25
1040,65.0,424.932,0.9264796495290716,Dodecanethiol,0.25
1041,65.0,440.802,0.9265222366915276,Dodecanethiol,0.25
1042,65.0,456.666,0.92726203983432,Dodecanethiol,0.25
1043,65.0,472.536,0.9268664099775908,Dodecanethiol,0.25
1044,65.0,488.4,0.9263983231677668,Dodecanethiol,0.25
1045,65.0,504.264,0.9273888469324064,Dodecanethiol,0.25
1046,65.0,520.134,0.9251080746039606,Dodecanethiol,0.25
1047,65.0,535.998,0.9265672975705938,Dodecanethiol,0.25
1048,65.0,551.868,0.9274611398963728,Dodecanethiol,0.25
1049,65.0,567.732,0.926715518350682,Dodecanethiol,0.25
1050,65.0,583.602,0.926571800595238,Dodecanethiol,0.25
1051,65.0,599.466,0.9254472503801758,Dodecanethiol,0.25
1052,65.0,615.336,0.9263109844144471,Dodecanethiol,0.25
1053,65.0,631.2,0.926512576399908,Dodecanethiol,0.25
1054,65.0,647.064,0.9265747215066388,Dodecanethiol,0.25
1055,65.0,662.934,0.9256878625598028,Dodecanethiol,0.25
1056,65.0,678.798,0.9259889617302628,Dodecanethiol,0.25
1057,65.0,694.668,0.9262267580853514,Dodecanethiol,0.25
1058,65.0,710.532,0.9258181852250024,Dodecanethiol,0.25
1059,65.0,726.402,0.9257952227467272,Dodecanethiol,0.25
1060,65.0,742.266,0.9249776047287528,Dodecanethiol,0.25
1061,65.0,758.136,0.925767524608776,Dodecanethiol,0.25
1062,65.0,774.0,0.9276039454433904,Dodecanethiol,0.25
1063,65.0,789.864,0.9267440281099596,Dodecanethiol,0.25
1064,65.0,805.734,0.926506721644826,Dodecanethiol,0.25
1065,65.0,821.598,0.9267497254765974,Dodecanethiol,0.25
1066,65.0,837.468,0.9262777597684788,Dodecanethiol,0.25
1067,65.0,853.332,0.9259553356850729,Dodecanethiol,0.25
1068,65.0,869.202,0.926698725977568,Dodecanethiol,0.25
1069,65.0,885.066,0.9266690569760712,Dodecanethiol,0.25
1070,65.0,900.0,0.9273950245972348,Dodecanethiol,0.25
